date,open,high,low,close,volume
2019-01-09,257.56,258.91,256.19,257.97,95006554
2019-01-10,256.26,259.16,255.5,258.88,96823923
2019-01-11,257.68,259.01,257.03,258.98,73858110
2019-01-14,256.86,258.3,256.41,257.4,70908227
2019-01-15,257.82,260.7,257.81,260.35,85208271
2019-01-16,260.83,261.97,260.6,260.98,77636710
2019-01-17,260.01,263.92,259.96,262.96,96118435
2019-01-18,264.98,266.98,263.0,266.46,127900303
2019-01-22,264.82,265.06,261.06,262.86,115531183
2019-01-23,264.01,264.79,260.66,263.41,86030287
2019-01-24,263.21,264.2,262.08,263.55,59204139
2019-01-25,265.61,266.7,263.66,265.78,96883358
2019-01-28,263.39,263.83,261.79,263.76,85613655
2019-01-29,263.92,264.55,262.48,263.41,66136334
2019-01-30,265.1,268.52,264.25,267.58,92473671
2019-01-31,267.51,270.47,267.27,269.93,104012073
2019-02-01,270.15,271.2,269.18,270.06,85782524
2019-02-04,270.11,272.03,269.36,271.96,60744844
2019-02-05,272.44,273.44,271.88,273.1,79552774
2019-02-06,272.79,273.34,271.92,272.74,58347791
2019-02-07,270.94,271.55,268.29,270.14,95481961
2019-02-08,268.75,270.58,267.83,270.47,75788861
2019-02-11,271.2,271.49,270.03,270.62,68021423
2019-02-12,272.42,274.52,272.34,274.1,72270221
2019-02-13,275.03,275.93,274.56,274.99,65277204
2019-02-14,273.78,275.64,272.87,274.38,83234396
2019-02-15,276.36,277.41,276.13,277.37,97088659
2019-02-19,276.48,278.58,276.47,277.85,59120804
2019-02-20,277.81,278.92,277.25,278.41,76610767
2019-02-21,277.7,278.1,276.35,277.42,64214727
2019-02-22,278.11,279.36,277.4,279.14,78114616
2019-02-25,280.73,281.31,279.43,279.52,69030699
2019-02-26,279.13,280.3,278.9,279.32,56844101
2019-02-27,278.52,279.59,277.48,279.2,56921570
2019-02-28,278.96,279.45,278.32,278.68,69268293
2019-03-01,280.44,280.88,278.82,280.42,78880548
2019-03-04,281.6,281.87,276.84,279.4,106494637
2019-03-05,279.54,279.76,278.41,279.02,59114559
2019-03-06,279.15,279.16,276.97,277.33,75039771
2019-03-07,276.83,276.99,274.07,275.01,94885089
2019-03-08,272.94,274.65,272.42,274.46,85795799
2019-03-11,275.26,278.62,275.23,278.44,65098897
2019-03-12,279.06,280.07,278.85,279.49,79667530
2019-03-13,280.48,282.38,280.3,281.34,80639153
2019-03-14,281.37,281.84,280.67,281.16,67518366
2019-03-15,280.54,282.21,280.33,281.31,81308979
2019-03-18,281.55,282.66,281.3,282.33,62199806
2019-03-19,283.51,284.36,281.41,282.4,90268121
2019-03-20,282.16,283.5,280.32,281.55,84609210
2019-03-21,280.64,285.18,280.59,284.73,79550375
2019-03-22,283.22,283.8,279.18,279.25,122659286
2019-03-25,278.87,280.19,277.64,279.04,85575197
2019-03-26,280.99,282.18,279.56,281.12,68125920
2019-03-27,281.11,281.76,277.93,279.65,72224722
2019-03-28,280.35,281.21,279.07,280.71,56238545
2019-03-29,282.39,282.84,281.14,282.48,82186806
2019-04-01,284.7,286.16,284.4,285.83,77617945
2019-04-02,286.04,286.23,285.09,285.97,40070351
2019-04-03,287.32,287.76,285.75,286.42,68243202
2019-04-04,286.78,287.46,286.01,287.18,48997505
2019-04-05,287.92,288.63,287.6,288.57,58621729
2019-04-08,288.1,288.91,287.37,288.79,53566335
2019-04-09,287.72,288.08,286.7,287.31,66142316
2019-04-10,287.77,288.39,287.31,288.29,52601499
2019-04-11,288.83,288.84,287.58,288.21,55093100
2019-04-12,290.0,290.47,288.26,290.16,69727782
2019-04-15,290.24,290.35,289.07,289.97,49596685
2019-04-16,290.95,291.01,289.5,290.16,52153197
2019-04-17,291.4,291.43,288.99,289.45,58268295
2019-04-18,290.1,290.32,288.66,290.02,68708513
2019-04-22,289.17,290.44,289.07,290.27,40160140
2019-04-23,290.68,293.14,290.42,292.88,52246633
2019-04-24,292.79,293.16,292.07,292.23,50392914
2019-04-25,292.12,292.78,290.73,292.05,57770862
2019-04-26,292.1,293.49,291.24,293.41,50916423
2019-04-29,293.51,294.45,293.41,293.87,57197747
2019-04-30,293.49,294.34,291.92,294.02,81111733
2019-05-01,294.72,294.95,291.8,291.81,71671870
2019-05-02,291.68,292.7,289.52,291.18,65030170
2019-05-03,292.82,294.34,291.3,294.03,56543653
2019-05-06,289.25,293.31,288.9,292.82,107198069
2019-05-07,290.15,290.81,285.81,287.93,144729908
2019-05-08,287.53,289.43,286.87,287.53,91568287
2019-05-09,285.23,287.33,283.3,286.66,103471104
2019-05-10,285.62,288.94,282.3,288.1,112429293
2019-05-13,282.42,283.49,279.93,280.86,127290527
2019-05-14,281.99,285.1,281.85,283.4,77003230
2019-05-15,281.59,285.77,281.36,285.06,73956407
2019-05-16,285.84,289.21,285.76,287.7,76749643
2019-05-17,285.14,288.6,285.12,285.84,100353024
2019-05-20,284.06,285.43,283.12,283.95,62877610
2019-05-21,285.83,286.93,285.55,286.51,46847085
2019-05-22,285.45,286.69,285.1,285.63,49482472
2019-05-23,283.16,283.21,280.57,282.14,98733847
2019-05-24,283.74,284.2,282.09,282.78,55268095
2019-05-28,283.09,284.15,280.13,280.15,70029356
2019-05-29,278.91,279.36,276.71,278.27,104972927
2019-05-30,279.11,280.04,277.81,279.03,62523780
2019-05-31,276.2,277.12,275.24,275.27,86862782
2019-06-03,275.31,276.55,273.09,274.57,96427952
2019-06-04,277.12,280.68,276.62,280.53,77231889
2019-06-05,282.33,282.99,280.32,282.96,71169717
2019-06-06,283.29,285.55,282.57,284.8,69430381
2019-06-07,285.93,288.85,285.74,287.65,74272199
2019-06-10,289.37,290.82,288.87,288.97,60799053
2019-06-11,290.99,291.4,288.18,288.9,58641325
2019-06-12,288.64,289.26,287.81,288.39,47096312
2019-06-13,289.4,289.98,288.62,289.58,48945156
2019-06-14,289.26,289.93,288.41,289.26,52324716
2019-06-17,289.52,290.22,289.18,289.37,39205709
2019-06-18,291.39,293.57,290.99,292.4,85434823
2019-06-19,292.55,293.65,291.47,293.06,78674377
2019-06-20,296.04,296.31,293.13,295.86,116570017
2019-06-21,294.13,295.52,293.76,294.0,83309466
2019-06-24,294.23,294.58,293.47,293.64,47582730
2019-06-25,293.7,293.73,290.64,290.76,82028656
2019-06-26,291.75,292.31,290.35,290.47,51584902
2019-06-27,291.31,292.06,290.89,291.5,40355239
2019-06-28,292.58,293.55,292.01,293.0,59350929
2019-07-01,296.68,296.92,294.33,295.66,79107474
2019-07-02,295.61,296.49,294.68,296.43,61504544
2019-07-03,297.18,298.82,297.02,298.8,40898896
2019-07-05,297.44,298.64,296.01,298.46,51677326
2019-07-08,297.01,298.26,296.22,296.82,45841772
2019-07-09,295.54,297.52,295.48,297.19,41101279
2019-07-10,298.37,299.66,297.78,298.61,58595558
2019-07-11,299.32,299.58,298.2,299.31,50889481
2019-07-12,299.85,300.73,299.51,300.65,40354410
2019-07-15,301.13,301.13,300.19,300.75,33910261
2019-07-16,300.65,300.88,299.44,299.71,40567964
2019-07-17,299.75,299.93,297.74,297.74,44102443
2019-07-18,297.19,299.25,296.7,298.83,51701687
2019-07-19,300.04,300.07,296.96,297.17,71081238
2019-07-22,297.61,298.5,297.04,297.9,43687404
2019-07-23,299.14,300.03,298.22,300.03,44657973
2019-07-24,299.19,301.44,299.09,301.44,47213232
2019-07-25,300.94,301.0,299.11,300.0,55394092
2019-07-26,300.76,302.23,300.62,302.01,45084077
2019-07-29,301.88,301.93,300.85,301.46,38126462
2019-07-30,299.91,301.17,299.49,300.72,45849045
2019-07-31,300.99,301.2,295.2,297.43,104245162
2019-08-01,297.6,300.87,293.96,294.84,142646576
2019-08-02,293.85,294.12,290.9,292.62,116749695
2019-08-05,288.09,288.21,281.72,283.82,178745449
2019-08-06,285.91,288.04,284.28,287.8,120711682
2019-08-07,284.4,288.82,282.04,287.97,140572265
2019-08-08,289.62,293.62,289.01,293.62,87713904
2019-08-09,292.58,293.24,289.65,291.62,93729958
2019-08-12,289.96,291.61,287.02,288.07,65527630
2019-08-13,287.74,294.15,287.36,292.55,94792972
2019-08-14,288.07,292.46,283.76,283.9,135622053
2019-08-15,284.88,285.64,282.39,284.65,101929845
2019-08-16,286.48,289.33,284.71,288.85,85825286
2019-08-19,292.19,293.08,291.44,292.33,53640153
2019-08-20,291.77,292.36,289.95,290.09,51652752
2019-08-21,292.48,292.86,291.72,292.45,49723430
2019-08-22,293.23,293.93,290.4,292.36,51739292
2019-08-23,290.92,292.76,283.47,284.85,149318151
2019-08-26,287.27,288.0,285.58,288.0,72620598
2019-08-27,289.54,289.95,286.03,286.87,68262998
2019-08-28,286.14,289.07,285.25,288.89,59852324
2019-08-29,291.72,293.16,290.61,292.58,57998913
2019-08-30,294.22,294.24,291.42,292.45,62961780
2019-09-03,290.57,291.58,289.27,290.74,69231875
2019-09-04,293.14,294.06,292.31,294.04,47003957
2019-09-05,296.79,298.83,294.0,297.82,83356779
2019-09-06,298.17,298.76,297.42,298.05,49584290
2019-09-09,299.14,299.24,297.16,298.2,51260290
2019-09-10,297.36,298.2,295.97,298.13,57947101
2019-09-11,298.47,300.34,297.75,300.25,68821066
2019-09-12,301.25,302.46,300.41,301.29,72908745
2019-09-13,301.78,302.17,300.68,301.09,62104838
2019-09-16,299.84,301.14,299.45,300.16,58191175
2019-09-17,299.94,301.02,299.75,300.92,42904427
2019-09-18,300.49,301.22,298.24,301.1,74192091
2019-09-19,301.53,302.63,300.71,301.08,78099215
2019-09-20,300.36,300.67,297.41,298.28,97455979
2019-09-23,297.55,299.0,297.27,298.21,47541321
2019-09-24,299.41,299.84,294.81,295.87,97367568
2019-09-25,295.96,298.11,294.33,297.62,73434081
2019-09-26,297.63,297.86,295.45,297.0,58722357
2019-09-27,297.83,297.95,293.69,295.4,84781110
2019-09-30,295.97,297.55,295.92,296.77,52562761
2019-10-01,297.74,298.45,293.0,293.24,89900420
2019-10-02,291.5,291.51,286.64,288.06,124523974
2019-10-03,287.81,290.45,284.82,290.42,85906799
2019-10-04,291.14,294.63,290.82,294.35,66700681
2019-10-07,293.47,295.26,292.77,293.08,60656561
2019-10-08,291.04,291.85,288.49,288.53,101575470
2019-10-09,290.75,292.3,288.66,291.27,65707329
2019-10-10,291.18,294.21,291.0,293.24,57255974
2019-10-11,296.27,298.74,296.14,296.28,101228577
2019-10-14,295.93,296.67,295.57,295.95,40546668
2019-10-15,297.1,299.7,296.97,298.88,47832356
2019-10-16,298.37,299.16,297.92,298.4,50563596
2019-10-17,299.68,300.24,298.51,299.28,46784885
2019-10-18,298.69,299.39,296.99,297.97,64338028
2019-10-21,299.42,300.21,298.94,299.99,39460901
2019-10-22,300.58,300.9,298.91,299.01,49126038
2019-10-23,298.73,299.94,298.5,299.88,34991829
2019-10-24,300.91,301.07,299.46,300.37,35857459
2019-10-25,299.74,302.2,299.68,301.6,45205412
2019-10-28,302.94,303.85,302.91,303.3,42146965
2019-10-29,303.0,304.23,302.86,303.21,44284921
2019-10-30,303.43,304.55,301.99,304.14,49643928
2019-10-31,304.13,304.13,301.73,303.33,69053791
2019-11-01,304.92,306.19,304.74,306.14,71141515
2019-11-04,307.85,308.0,306.96,307.37,60606916
2019-11-05,307.59,307.92,306.71,307.03,42933219
2019-11-06,307.03,307.4,306.06,307.1,46487108
2019-11-07,308.57,309.65,307.66,308.18,54272274
2019-11-08,307.8,309.0,307.03,308.94,49068797
2019-11-11,307.42,308.54,307.27,308.35,35934909
2019-11-12,308.75,309.99,308.15,309.0,46484624
2019-11-13,307.91,309.54,307.66,309.1,54459018
2019-11-14,308.79,309.64,308.09,309.55,52001874
2019-11-15,311.02,311.84,310.26,311.79,62706192
2019-11-18,311.53,312.28,311.03,312.02,49327980
2019-11-19,312.68,312.69,311.22,311.93,67927818
2019-11-20,311.28,311.85,309.06,310.77,79696276
2019-11-21,310.89,311.01,309.39,310.27,54664690
2019-11-22,311.09,311.24,309.85,310.96,44850228
2019-11-25,311.98,313.37,311.98,313.37,48762676
2019-11-26,313.41,314.28,313.06,314.08,37727953
2019-11-27,314.61,315.48,314.37,315.48,44793179
2019-11-29,314.86,315.13,314.06,314.31,36592740
2019-12-02,314.59,314.66,311.17,311.64,76110027
2019-12-03,308.65,309.64,307.13,309.55,75172709
2019-12-04,310.7,312.12,310.32,311.46,49190402
2019-12-05,312.23,312.25,310.58,312.02,40781669
2019-12-06,314.12,315.31,314.11,314.87,48956767
2019-12-09,314.44,315.18,313.8,313.88,34904315
2019-12-10,313.82,314.55,312.81,313.53,53107133
2019-12-11,314.03,314.7,313.44,314.42,53521450
2019-12-12,314.43,317.99,314.17,317.13,96585802
2019-12-13,316.87,318.67,316.02,317.32,81546487
2019-12-16,319.22,320.15,317.25,319.5,82836128
2019-12-17,319.92,320.25,319.48,319.57,61131769
2019-12-18,320.0,320.25,319.53,319.59,48199955
2019-12-19,319.8,320.98,319.52,320.9,85388424
2019-12-20,320.46,321.97,319.39,320.73,149338215
2019-12-23,321.59,321.65,321.06,321.22,53015641
2019-12-24,321.47,321.52,320.9,321.23,20270007
2019-12-26,321.65,322.95,321.64,322.94,31024188
2019-12-27,323.74,323.8,322.28,322.86,42554820
2019-12-30,322.95,323.1,320.55,321.08,49782730
2019-12-31,320.53,322.13,320.15,321.86,57106998
2020-01-02,323.54,324.89,322.53,324.87,59253833
2020-01-03,321.16,323.64,321.1,322.41,77783121
2020-01-06,320.49,323.73,320.36,323.64,55761948
2020-01-07,323.02,323.54,322.24,322.73,42854811
2020-01-08,322.94,325.78,322.67,324.45,68434153
2020-01-09,326.16,326.73,325.52,326.65,48569601
2020-01-10,327.29,327.46,325.2,325.71,53057389
2020-01-13,326.39,327.96,325.92,327.95,47262010
2020-01-14,327.47,328.62,326.84,327.45,63036384
2020-01-15,327.35,329.02,327.26,328.19,72056598
2020-01-16,329.7,330.92,329.45,330.92,54050328
2020-01-17,331.7,332.18,330.85,331.95,95846017
2020-01-21,330.9,332.18,330.82,331.3,77742415
2020-01-22,332.24,332.95,331.17,331.34,48914899
2020-01-23,330.63,332.17,329.41,331.72,51962994
2020-01-24,332.44,332.53,327.36,328.77,87578442
2020-01-27,323.03,325.12,322.66,323.5,84062463
2020-01-28,325.06,327.85,323.6,326.89,63833953
2020-01-29,328.38,328.63,326.4,326.62,54040889
2020-01-30,324.36,327.91,323.54,327.68,75491844
2020-01-31,327.0,327.17,320.73,321.73,113845576
2020-02-03,323.35,326.16,323.22,324.12,69242293
2020-02-04,328.07,330.01,327.72,329.06,62573190
2020-02-05,332.27,333.09,330.67,332.86,65951146
2020-02-06,333.91,334.19,332.8,333.98,50359688
2020-02-07,332.82,333.99,331.6,332.2,64139443
2020-02-10,331.23,334.75,331.19,334.68,42070006
2020-02-11,336.16,337.02,334.68,335.26,54864533
2020-02-12,336.83,337.65,336.43,337.42,43992662
2020-02-13,335.86,338.12,335.56,337.06,54501922
2020-02-14,337.51,337.73,336.2,337.6,64582210
2020-02-18,336.51,337.67,335.21,336.73,57342526
2020-02-19,337.79,339.08,337.48,338.34,48814692
2020-02-20,337.74,338.64,333.68,336.95,74163362
2020-02-21,335.47,335.81,332.58,333.48,113788208
2020-02-24,323.14,333.56,321.24,322.42,161088409
2020-02-25,323.94,324.61,311.69,312.65,218913168
2020-02-26,314.18,318.11,310.7,311.5,194773819
2020-02-27,305.46,311.56,297.51,297.51,284353459
2020-02-28,288.7,297.89,285.54,296.26,385764020
2020-03-02,298.21,309.16,294.46,309.09,238703625
2020-03-03,309.5,313.84,297.57,300.24,300139149
2020-03-04,306.12,313.1,303.33,312.86,176613448
2020-03-05,304.98,308.47,300.01,302.46,186366809
2020-03-06,293.15,298.78,290.23,297.46,228667168
2020-03-09,275.3,284.19,273.45,274.23,309417349
2020-03-10,284.64,288.52,273.5,288.42,276444058
2020-03-11,280.7,281.94,270.88,274.36,256416563
2020-03-12,256.0,266.66,247.68,248.11,392220669
2020-03-13,263.09,271.48,248.52,269.32,329566100
2020-03-16,241.18,256.9,237.36,239.85,297240027
2020-03-17,245.04,256.17,237.07,252.8,262070471
2020-03-18,236.25,248.37,228.02,240.0,327597131
2020-03-19,239.25,247.38,232.22,240.51,289322037
2020-03-20,242.53,244.47,228.5,228.8,347158794
2020-03-23,228.19,229.68,218.26,222.95,326025169
2020-03-24,234.42,244.1,233.8,243.15,235494475
2020-03-25,244.87,256.35,239.75,246.79,299430255
2020-03-26,249.52,262.8,249.05,261.2,257632816
2020-03-27,253.27,260.81,251.05,253.42,224341217
2020-03-30,255.7,262.43,253.53,261.65,170961866
2020-03-31,260.56,263.33,256.22,257.75,194881060
2020-04-01,247.98,257.66,243.9,246.15,189554623
2020-04-02,245.19,252.68,244.59,251.83,177660430
2020-04-03,250.76,253.32,245.22,248.19,135561171
2020-04-06,257.84,267.0,248.17,264.86,188061238
2020-04-07,274.21,275.03,264.89,265.13,201427189
2020-04-08,267.96,276.0,265.25,274.03,153774487
2020-04-09,277.58,281.2,275.47,278.2,190282705
2020-04-13,277.14,277.51,271.41,275.66,114839053
2020-04-14,280.98,284.9,275.51,283.79,134143350
2020-04-15,277.57,283.94,275.46,277.76,121775006
2020-04-16,279.15,280.03,275.76,279.1,131798325
2020-04-17,285.38,287.3,282.4,286.64,146684784
2020-04-20,282.61,286.79,281.35,281.59,100109285
2020-04-21,276.73,278.04,272.02,273.04,126385698
2020-04-22,278.35,281.0,276.91,279.1,93524584
2020-04-23,280.49,283.94,278.75,279.08,104709693
2020-04-24,280.73,283.7,278.5,282.97,85165953
2020-04-27,285.12,288.27,284.62,287.05,77896608
2020-04-28,291.02,291.4,285.4,285.73,105269985
2020-04-29,291.53,294.88,290.41,293.21,118745579
2020-04-30,291.71,293.32,288.59,290.48,122901701
2020-05-01,285.31,290.66,281.52,282.79,125180028
2020-05-04,280.74,283.9,279.13,283.57,80873213
2020-05-05,286.64,289.25,283.71,286.19,79569938
2020-05-06,288.04,288.46,283.78,284.25,73632628
2020-05-07,287.75,289.78,287.13,287.68,75250412
2020-05-08,291.09,292.95,289.86,292.44,76622128
2020-05-11,290.34,294.0,289.88,292.5,79514231
2020-05-12,293.79,294.24,286.52,286.67,95870786
2020-05-13,286.06,287.19,278.96,281.6,144721099
2020-05-14,278.95,285.11,272.99,284.97,121977890
2020-05-15,282.37,286.33,281.34,286.28,111146276
2020-05-18,293.05,296.75,292.7,295.0,120320229
2020-05-19,294.35,296.2,291.95,291.97,95189316
2020-05-20,295.82,297.87,295.57,296.93,85861691
2020-05-21,296.79,297.67,293.69,294.88,78293925
2020-05-22,294.57,295.63,293.22,295.44,63958200
2020-05-26,301.93,302.19,295.46,299.08,88951442
2020-05-27,302.12,303.57,296.87,303.53,104817449
2020-05-28,304.65,306.84,302.24,302.97,90767807
2020-05-29,302.46,304.96,299.47,304.32,119265702
2020-06-01,303.62,306.2,303.06,305.55,56779836
2020-06-02,306.55,308.13,305.1,308.08,74267162
2020-06-03,310.24,313.22,309.94,312.18,92567574
2020-06-04,311.11,313.0,309.08,311.36,75794363
2020-06-05,317.23,321.27,317.16,319.34,150524674
2005-02-25,104.77,106.0,104.68,105.79,70221808
2005-02-28,105.55,105.68,104.56,105.08,79695344
2005-03-01,105.22,105.87,105.22,105.62,54607412
2005-03-02,105.21,106.22,105.1,105.57,73733090
2005-03-03,105.99,106.2,105.15,105.61,71286823
2005-03-04,106.31,107.01,106.1,106.93,64483624
2005-03-07,106.86,107.38,106.62,106.97,50288014
2005-03-08,106.87,107.15,106.36,106.55,51274973
2005-03-09,106.25,106.52,105.38,105.39,84491113
2005-03-10,105.4,105.85,104.89,105.62,74962248
2005-03-11,105.88,106.04,104.66,104.88,66729930
2005-03-14,104.89,105.56,104.78,105.54,41713280
2005-03-15,105.78,105.82,104.6,104.65,71730138
2005-03-16,104.27,104.44,103.59,103.77,88074366
2005-03-17,103.94,104.31,103.65,103.99,72019178
2005-03-18,103.75,104.13,102.93,103.26,71037158
2005-03-21,103.42,103.48,102.59,102.89,70515555
2005-03-22,103.11,103.6,101.85,101.85,107137486
2005-03-23,101.87,102.56,101.71,101.93,82588253
2005-03-24,102.33,102.79,101.98,102.05,59713798
2005-03-28,102.29,102.75,102.19,102.19,53885043
2005-03-29,102.05,102.71,101.27,101.51,83849903
2005-03-30,101.85,102.98,101.72,102.96,72199510
2005-03-31,102.97,103.19,102.68,102.77,74669192
2005-04-01,103.34,103.66,101.85,102.3,111800673
2005-04-04,102.24,102.67,101.7,102.48,82200501
2005-04-05,102.6,103.12,102.52,102.97,57487581
2005-04-06,103.19,103.62,102.96,103.32,61195953
2005-04-07,103.15,103.89,103.06,103.87,54209783
2005-04-08,103.81,103.85,102.8,102.8,73804604
2005-04-11,103.04,103.16,102.65,102.89,52639928
2005-04-12,102.7,103.72,101.98,103.41,99373733
2005-04-13,103.28,103.5,102.04,102.18,75829826
2005-04-14,102.31,102.37,100.86,100.86,114379408
2005-04-15,100.83,101.22,99.399,99.439,153892870
2005-04-18,99.419,100.15,99.26899999999999,99.75,115154806
2005-04-19,100.27,100.8,100.04,100.55,78518182
2005-04-20,100.54,100.73,98.916,99.12,131823084
2005-04-21,100.0,101.23,99.64,101.06,100403045
2005-04-22,100.83,101.48,99.55,100.68,103125842
2005-04-25,100.94,101.48,100.81,101.33,60109934
2005-04-26,101.03,101.72,100.31,100.36,86510249
2005-04-27,100.07,101.11,99.7,100.75,97784824
2005-04-28,100.42,100.78,99.488,99.488,85253199
2005-04-29,100.25,100.95,99.279,100.84,119708368
2005-05-02,101.11,101.4,100.65,101.4,64351500
2005-05-03,101.11,101.8,100.78,101.58,99768723
2005-05-04,101.61,102.58,101.29,102.37,94687011
2005-05-05,102.52,102.8,101.7,102.33,111716417
2005-05-06,102.74,102.79,101.98,102.0,79897373
2005-05-09,102.12,102.88,101.97,102.64,50480401
2005-05-10,102.24,102.37,101.39,101.58,86131214
2005-05-11,101.86,102.27,100.93,102.14,105653263
2005-05-12,102.2,102.44,100.55,101.02,109708871
2005-05-13,101.3,101.58,100.01,100.81,98078796
2005-05-16,100.79,101.79,100.76,101.75,56650079
2005-05-17,101.42,102.54,101.19,102.43,70500172
2005-05-18,102.87,103.73,102.81,103.49,89597157
2005-05-19,103.68,104.03,103.41,103.92,72144985
2005-05-20,103.97,104.01,103.45,103.77,53290553
2005-05-23,103.85,104.56,103.83,104.35,58880085
2005-05-24,104.05,104.4,103.84,104.11,58541801
2005-05-25,103.98,104.43,103.53,104.03,55654056
2005-05-26,104.36,104.71,104.21,104.57,50000813
2005-05-27,104.58,104.75,104.37,104.75,28285839
2005-05-31,104.6,104.67,104.02,104.09,51576176
2005-06-01,104.13,105.35,104.06,104.98,80220046
2005-06-02,104.73,105.28,104.62,105.21,46472544
2005-06-03,105.02,105.33,104.3,104.65,70082917
2005-06-06,104.55,104.7,104.15,104.56,41705131
